"%1$s incl tax.","%1$s incl. impuestos."
"Option validation failed to add product to cart.","La validación de opción no pudo agregar el artículo al carrito."
"Option values","Valores de opción"
"Option:","Opción:"
"Options","Opciones"
"Options Control","Control de opciones"
"Options is required","Opciones requeridas"
"Out of Stock","Agotado"
"Out of stock","Agotado"
"PM","PM"
"Page Title Separator","Separador de título de página"
"Parent Category","Categoría principal"
"Pending","Pendiente"
"Pending Reviews RSS","RSS de reseñas pendientes"
"Percentage","Porcentaje"
"Please add rows to option.","Por favor, añadir filas a la opción."
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","Tenga en cuenta que al hacer clic en la fila se cargarán los datos de paquete del archivo seleccionado, y se perderán todos los datos del formulario que no se hayan guardado."
"Please click on the Close Window button if it is not closed automatically.","Por favor, pinche en el botón de cerrar ventana si no se cierra automáticamente."
"Please enter a new group name","Por favor, ingrese un nuevo nombre de grupo"
"Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -&gt; <a href=""%s"">Index Management</a>","Por favor, refresque ""Reescrituras de URL de catálogo"" y ""Atributos de artículo"" en la <a href=""%s"">Gestión de Índices</a> del sistema."
"Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -> <a href=""%s"">Index Management</a>","Por favor, refresque ""Reescrituras de URL de catálogo"" y ""Atributos de artículo"" en la <a href=""%s"">Gestión de Índices</a> del sistema."
"Please refresh ""Product Attributes"" in System -&gt; <a href=""%s"">Index Management</a>","Por favor, refresque ""Atributos de artículos"" en la <a href=""%s"">Gestión de Índices</a> del sistema."
"Please select a static block ...","Por favor, seleccione un bloque estático..."
"Please select items.","Seleccione artículos."
"Please select one or more attributes.","Seleccione un atributo o atributos."
"Please select product(s).","Por favor, seleccione el/los artículo(s)."
"Please select products for attributes update","Por favor, seleccione artículos para actualización de atributos"
"Please set up merge date/time","Por favor, establezca una fecha y hora de fusión"
"Please set up merge date/time later then present date","Por favor, establezca una fecha y hora de fusión mayor que la fecha actual"
"Please specify date required option(s).","Por favor, especifique las opciones obligatorias de la fecha."
"Please specify the number of products, that will not be divided into subintervals.","Por favor, especifica el número de artículos, que no será dividido en subintervalos."
"Please specify the product required option(s)","Por favor, especifique la(s) opcioón/opciones obligatoria(s) de artículo"
"Please specify the product required option(s).","Por favor, especifique la(s) opción/opciones obligatoria(s) de artículo"
"Please specify the product\'s option(s).","Por favor, especifique las opciones del artículo."
"Please specify the product\'s required option(s).","Por favor, especifique la(s) opción/opciones obligatoria(s) del artículo."
"Please specify the quantity of product(s).","Por favor, especifique la cantidad de artículo(s)."
"Please specify time required option(s).","Por favor, especifique las opciones obligatorias de la hora."
"Please wait...","Por favor, espere..."
"Position","Posición"
"Position in Layered Navigation","Posición de navegación en capas"
"Position of attribute in layered navigation block","Posición de atributo en el bloque de navegación en capas"
"Prev","Prev"
"Reviews ","Reseñas"
"Customer Reviews","Reseñas de los Clientes"
"Previous","Anterior"
"Price","Precio"
"Review by","Reseña Hecha Por"
"Price From","Precio a partir de"
"Price Navigation Step Calculation","Cálculo de paso de navegación de precios"
"Price Type","Tipo de precio"
"Price is not available","Precio no disponible"
"Price values for options should be specified in system base currency.","Los valores de precio de las opciones deben especificarse en la moneda básica del sistema."
"Price:","Precio:"
"Price: %s","Precio: %s"
"Print This Page","Imprimir esta página"
"Product","Artículo"
"Nickname","Alias"
"Your Rating","Tu Calificación"
"Product API","API de artículo"
"You're reviewing:","Estás evaluando:"
"Product Alerts","Alertas de artículo"
"Product Attribute","Atributos del artículo"
"Add Your Review","Agregar tu Reseña"
"Submit Review","Enviar Reseña"
"Product Attributes","Atributos del artículo"
"Product Categories","Categorías de artículo"
"Product Description","Descripción del artículo"
"Product Extra Info","Información extra del artículo"
"Product Flat Data","Datos fijos de artículo"
"Product ID","ID de artículo"
"Product Image","Imagen de artículo"
"Product Image Placeholders","Marcadores de posición de imagen de artículo"
"Product Image Watermarks","Marcas de agua de imagen de artículo"
"Product Images","Imágenes de artículo"
"Product Images API","API de imágenes de artículo"
"Product In Websites","Artículo en sitios web"
"Product Info Column","Columna de información de artículo"
"Product Information","Información de artículo"
"Product Link Block Template","Plantilla de bloque de Vínculo de artículo"
"Product Link Inline Template","Plantilla en línea de Vínculo de artículo"
"Product Listing Sort by","Listado de artículos ordenado por"
"Product Name","Nombre de artículo"
"Product Prices","Precios de artículo"
"Product Reviews","Opiniones de artículo"
"Product Tags","Etiqueta de artículo"
"Product Tier Price API","API de precio de nivel de artículo"
"Product Type","Tipo de artículo"
"Product URL Suffix","Sufijo de URL de artículo"
"Product View Extra Hint","Sugerencia adicional de Vista de artículo"
"Product attribute sets API","API de conjuntos de atributo de artículo"
"Product attributes API","API de atributos de artículo"
"Product collection expected.","Colección esperada de artículo."
"Product is not loaded","El artículo no se ha cargado"
"Product links API (related, cross sells, up sells)","API de vínculos de artículo (relacionados, ventas cruzadas, ventas ampliadas)"
"Product name","Nombre de artículo"
"Product types API","API de tipos de artículo"
"Product with this combination of attributes already associated to configurable.","El artículo con esta combinación de atributos ya ha sido asociado a configurables."
"Products","Artículos"
"Products Comparison List","Lista de Comparación de artículos"
"Products Information","Información de artículos"
"Products Reviews","Opiniones de artículos"
"Products Sitemap","Mapa del sitio de artículos"
"Products only","Sólo artículos"
"Products per Page on Grid Allowed Values","Artículos por página (valores permitidos por la cuadrícula)"
"Products per Page on Grid Default Value","Artículos por página (predeterminado por la cuadrícula)"
"Products per Page on List Allowed Values","Artículos por página (valores permitidos por la lista)"
"Products per Page on List Default Value","Artículos por página (predeterminado por la lista)"
"Properties","Propiedades"
"Qty","Cantidad"
"Qty Increments","Incrementos de cantidad"
"Qty Uses Decimals","La Cantidad Usa Decimales"
"Qty for Item\'s Status to Become Out of Stock","Cantidad de artículos antes de estar fuera de existencia"
"Qty:","Cantidad:"
"Quantity","Cantidad"
"Quickview","Vista previa"
"Quick Create","Creación rápida"
"Quick Overview","Descripción rápida"
"Quick simple product creation","Creación rápida de artículo sencillo"
"Records for ""%s"" store found.","Se han encontrado registros para la tienda ""%s""."
"Recurring Payment Profile","Perfil de pago recurrente"
"Redirect","Redirigir"
"Redirect URL","Redirigir URL"
"Regular Price:","Precio habitual:"
"Related Products","Artículos relacionados"
"Remove","Borrar"
"Remove Product From Websites","Eliminar el artículo de los sitios de Internet"
"Remove This Item","Eliminar este artículo"
"Remove attribute from attribute set","Eliminar atributo de conjunto de atributos"
"Remove attribute set","Eliminar conjunto de atributos"
"Remove custom option","Eliminar opción personalizada"
"Remove group from attribute set","Eliminar grupo de conjunto de atributos"
"Remove option","Eliminar opción"
"Remove product assignment","Eliminar la asignación de artículo"
"Remove product image","Eliminar imagen del artículo"
"Remove product link","Eliminar el enlace del artículo"
"Remove value from custom option","Eliminar valor de las opciones de personalización"
"Rename existing group","Renombrar un grupo existente"
"Rename group","Renombrar un grupo"
"Reorganize EAV category structure to flat structure","Reorganizar la esctructura de categoría EAV a una estructura plana"
"Reorganize EAV product structure to flat structure","Reorganizar la esctructura de artículo EAV a una estructura plana"
"Reset","Reiniciar"
"Results","Resultados"
"Results per page","Resultados por página"
"Retrieve attribute data","Recuperar datos de atributo"
"Retrieve attribute list","Recuperar la lista de atributo"
"Retrieve attribute options","Recuperar las opciones de atributo"
"Retrieve categories tree","Recuperar árbol de categorías"
"Retrieve category attributes","Recuperar los atributos de categorías"
"Retrieve category data","Recuperar los datos de categorías"
"Retrieve hierarchical tree","Recuperar el árbol jerárquico"
"Retrieve linked products","Recuperar los artículos enlazados"
"Retrieve list of assigned products","Recuperar la lista de artículos asignados"
"Retrieve list of option values","Recuperar lista de valores de opción"
"Retrieve list of product custom options","Recuperar lista de opciones de personalización del artículo"
"Retrieve one level of categories by website/store view/parent category","Recuperar un nivel de categorías por sitio de Internet/vista de tienda/categoría matriz"
"Retrieve option value info","Recuperar información sobre el valor de opción"
"Retrieve product","Recuperar artículo"
"Retrieve product attribute sets","Recuperar conjuntos de atributos de artículo"
"Retrieve product image","Recuperar imagen del artículo"
"Retrieve product image list","Recuperar lista de imágenes de artículo"
"Retrieve product image types","Recuperar tipos de imágenes de artículo"
"Retrieve product link type attributes","Recuperar atributos de tipo de enlace de artículo"
"Retrieve product link types","Recuperar tipos de enlace de artículo"
"Retrieve product tier prices","Recuperar precios de nivel de artículo"
